galaxy,model,holdout,n,n_train,n_test,chi2_data,chi2_data_per_row,prior_penalty,objective,eta,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,maximum_abs_pull,nuisance_bound_hit,train_admissible,holdout_admissible,holdout_chi2,holdout_chi2_per_row,minimum_training_v2,minimum_test_v2,nuisance_parameters_json,n_parameters,success,optimality,eta_bound_hit,eta_boundary,scale_bound_hit,n_starts,parameters_json,worst_restart_objective,baseline_same_split_objective,objective_improvement_over_baseline
CamB,free_family,False,9,9,0,11.927543425372221,1.3252826028191356,6.15698423855571,18.08452766392793,999.999999999999,640.6535552953288,10701.935781661883,700.2726354941213,9999.906365887598,0.3374997451125049,0.7,0.9148630445101935,57.871284028349365,1.706965551579363,False,True,True,,,8.294590402564527,,"{""disk_pull"": -1.706965551579363, ""distance_pull"": -1.100231424791346, ""inclination_pull"": -1.4257431943301277}",6,True,5.934515384305961e-05,True,upper,True,5,"[6.551469738493355, 9.210331008521106, 6.9087547793152195, -1.706965551579363, -1.100231424791346, -1.4257431943301277]",18.084527715769198,18.084541803083667,1.4139155734227415e-05
D512-2,free_family,False,4,4,0,0.14572669521075185,0.03643167380268796,3.659615086999246e-05,0.14576329136162183,2.582573148006068e-17,1.1188792785517623,42.452325275147686,1.117332137123537,42.470420797963456,0.5001696264373517,0.7,1.001384674598377,56.03622500588888,0.0046155819945901426,False,True,True,,,496.05384332399757,,"{""disk_pull"": 0.0014731066508287289, ""distance_pull"": 0.0046155819945901426, ""inclination_pull"": 0.003622500588887725}",6,True,4.3418958960915644e-07,True,lower,False,5,"[0.1109438233576607, 3.7488078523986155, 2.582573148006068e-17, 0.0014731066508287289, 0.0046155819945901426, 0.003622500588887725]",0.14576329136165306,0.1842864969812004,0.03852320561957856
D564-8,free_family,False,6,6,0,0.1660161132974054,0.027669352216234233,1.1625575864703872e-07,0.16601622955316406,1.454736018633985e-14,1.302682217766933,30.015115248137576,1.3026832997116713,30.014924756151622,0.49996266293408237,0.7,0.9999991694491374,62.99928634528793,0.00032431774319332206,False,True,True,,,76.50727453888095,,"{""disk_pull"": -0.00032431774319332206, ""distance_pull"": -2.6073364580688548e-05, ""inclination_pull"": -0.00010195067315359725}",6,True,3.289815243758069e-07,True,lower,False,5,"[0.2644262138892048, 3.4016947498258223, 1.4547360186339744e-14, -0.00032431774319332206, -2.6073364580688548e-05, -0.00010195067315359725]",0.517546440656958,0.18461520821982183,0.018598978666657773
D631-7,free_family,False,16,16,0,5.699790791496534,0.3562369244685334,1.2061935471838874,6.905984338680422,5.155515549432741,1.1354427612724265,24.7079825959998,1.1415142803462903,24.179126911042438,0.4114459223670162,0.7,0.9946811711615015,57.015753265895974,0.8465724172801194,False,True,True,,,136.5196855477502,,"{""disk_pull"": -0.8465724172801194, ""distance_pull"": -0.22811865907338139, ""inclination_pull"": -0.6614155780346763}",6,True,0.00027378145258323197,False,none,False,5,"[0.13235569706827938, 3.1854897366374058, 1.817348517206272, -0.8465724172801194, -0.22811865907338139, -0.6614155780346763]",6.905984339408639,8.26070038344567,1.3547160447652473
DDO064,free_family,False,14,14,0,3.334502451012583,0.2381787465008988,0.0013036387804467677,3.3358060897930297,3.9498584319017267,0.4354225032456707,20.05004092908804,0.431448392503622,20.06052474386278,0.4981719214846888,0.7,1.0092110917808446,60.05193120787623,0.030703639269482056,False,True,True,,,7.839751343583626,,"{""disk_pull"": -0.015907586303299377, ""distance_pull"": 0.030703639269482056, ""inclination_pull"": 0.010386241575246027}",6,True,0.00017804638294395295,False,none,False,5,"[-0.8406073758346871, 2.998753940908644, 1.5993589765558094, -0.015907586303299377, 0.030703639269482056, 0.010386241575246027]",3.335806089996952,3.6170921249378645,0.28128603514483563
DDO154,free_family,False,12,12,0,11.98726027853752,0.9989383565447932,2.536147306675326,14.523407585212846,1.436076569408199e-18,1.9708815767038073,56.09242377552882,1.9478615453461838,56.43354373265937,0.7154247711810098,0.7,1.011818104532441,64.72379639295067,1.5559396893985615,False,True,True,,,191.44394894291338,,"{""disk_pull"": 1.5559396893985615, ""distance_pull"": 0.23872571155530933, ""inclination_pull"": 0.24126546431689183}",6,True,0.0001740587520569048,True,lower,False,5,"[0.6667321274100758, 4.033063728745058, 1.436076569408199e-18, 1.5559396893985615, 0.23872571155530933, 0.24126546431689183]",74.80174976138485,17.77936117156308,3.255953586350236
DDO161,free_family,False,31,31,0,6.172842735914716,0.19912395922305534,0.451405704747995,6.624248440662711,2.5079070007237183e-18,5.924867064408321,74.60564659601765,5.425994469176516,75.20992096204135,0.5718628486449903,0.7,1.0919412281132528,71.31670881850258,0.5832187896959439,False,True,True,,,175.18596263778045,,"{""disk_pull"": 0.5832187896959439, ""distance_pull"": 0.3064707603775096, ""inclination_pull"": 0.13167088185025752}",6,True,4.673767607305359e-06,True,lower,False,5,"[1.6912011949174803, 4.320283149940822, 2.5079070007237183e-18, 0.5832187896959439, 0.3064707603775096, 0.13167088185025752]",11.814249505411786,6.892908875552746,0.26866043489003744
DDO168,free_family,False,10,10,0,14.617646600921823,1.4617646600921823,2.621392460056047,17.23903906097787,7.242407259412172,0.4952873060189053,20.11970044872025,0.5076609675425542,18.305214278107368,0.4502497255019374,0.7,0.975626131779352,54.159633649662176,1.473394391722971,False,True,True,,,184.6438713894019,,"{""disk_pull"": -0.4551654761519791, ""distance_pull"": -0.49328066637025775, ""inclination_pull"": -1.473394391722971}",6,True,0.001546894289011304,False,none,False,5,"[-0.6779414409325679, 2.9071859524915227, 2.10929244438843, -0.4551654761519791, -0.49328066637025775, -1.473394391722971]",17.23903906898574,22.958297949451875,5.719258888474002
DDO170,free_family,False,8,8,0,35.14646368263677,4.393307960329596,0.7756184182924856,35.92208210092926,1.7742923541723756e-29,3.519622889972845,70.29419932201071,3.6738756696424533,70.10396855642662,0.6106319394499785,0.7,0.958013609185468,65.65408548203104,0.8680951223996485,False,True,True,,,661.4300080375046,,"{""disk_pull"": 0.8680951223996485, ""distance_pull"": -0.13995463604844025, ""inclination_pull"": -0.049416359709852704}",6,True,0.0030363876577390097,True,lower,False,5,"[1.3012471456221932, 4.249979405225927, 1.7742923541723756e-29, 0.8680951223996485, -0.13995463604844025, -0.049416359709852704]",49.04886740896,39.63327505622415,3.711192955294898
ESO079-G014,free_family,False,15,15,0,11.560580538814365,0.770705369254291,0.31251920649180803,11.873099745306174,1.0934102601135452e-16,5.141286147805123,197.5376570785065,5.784581127693776,197.35072005345964,0.4630245659121395,0.7,0.888791432657264,78.72446412920108,0.4451444745797101,False,True,True,,,413.7213094589898,,"{""disk_pull"": -0.33365971078193596, ""distance_pull"": -0.4451444745797101, ""inclination_pull"": -0.0551071741597833}",6,True,1.0881218566877621e-05,True,lower,False,5,"[1.7551959514025075, 5.284982450713599, 1.0934102601135452e-16, -0.33365971078193596, -0.4451444745797101, -0.0551071741597833]",32.53655600577247,13.234410050709549,1.3613103054033768
